Species,LD50
Naja nigricollis Black necked spitting cobra,0.03,
"Crotalus scutulatus 							
Mohave rattlesnake",0.03,
"Daboia russelii 							
Russell's viper",0.035,
"Notechis scutatus 							
Mainland tiger snake",0.04,
"Bungarus caeruleus 							
Indian krait",0.04,
"Bungarus candidus 							
Blue krait",0.04,
"Crotalus oreganus 							
Northern Pacific rattlesnake",0.045,
"Crotalus durissus 							
South American rattlesnake",0.047,
"Crotalus tigris 							
Tiger rattlesnake",0.056,
"Atractaspis bibronii 							
Bibron's burrowing asp",0.06,
"Atractaspis microlepidota 							
Small scaled burrowing asp",0.06,
"Atractaspis engaddensis 							
Palestinian Mole Viper",0.06,
"Dispholidus typus 							
Boomslang",0.067,
"Bungarus multicinctus 							
Many banded krait",0.071,
"Naja siamensis 							
Indochinese spitting cobra",0.075,
"Boiga irregularis 							
Brown tree snake",0.08,
"Hydrophis platurus 							
Yellowbelly sea snake",0.09,
"Naja melanoleuca 							
Forest cobra",0.093,
"Hydrophis stricticollis 							
Bengal Sea Snake",0.108,
"Bitis atropos 							
Cape mountain adder",0.111,
"Naja kaouthia 							
Monocled cobra",0.115,
"Echis carinatus 							
Saw scaled viper",0.12,
"Hydrophis elegans 							
Elegant sea snake",0.12,
"Rhabdophis subminiatus 							
Red necked keelback",0.125,
"Pseudocerastes fieldi 							
Field's horned viper",0.125,
"Ophiophagus hannah 							
King cobra",0.125,
"Naja naja 							
Spectacled cobra",0.13,
"Hydrophis gracilis 							
Slender sea snake",0.13,
"Bothrops jararacussu 							
Jararacussu",0.14,
"Hydrophis major 							
Olive headed sea snake",0.143,
"Aipysurus laevis 							
Olive brown sea snake",0.15,
"Oxyuranus scutellatus 							
Coastal taipan",0.155,
"Laticauda laticaudata 							
Blue lipped sea krait",0.16,
"Hydrophis stokesii 							
Large headed Sea Snake",0.164,
"Naja annulata 							
Ringed water cobra",0.167,
"Bungarus fasciatus 							
Banded krait",0.17,
"Daboia siamensis 							
Eastern Russell's Viper",0.178,
"Montivipera raddei 							
Armenian mountain viper",0.1935,
"Micrurus fulvius 							
Eastern coral snake",0.2,
"Micrurus mosquitensis 							
Costa Rican coral snake",0.2,
"Daboia palaestinae 							
Palestine viper",0.2,
"Laticauda semifasciata 							
Black banded sea krait",0.211,
"Montivipera latifii 							
Latifi's viper",0.224,
"Montivipera xanthina 							
Ottoman viper",0.228,
"Pseudechis australis 							
Mulga snake",0.23,
"Micrurus alleni 							
Allen's coral snake",0.23,
"Thelotornis kirtlandii 							
Northern twig snake",0.25,
"Echis coloratus 							
Painted saw scaled viper",0.25,
