"<!-- Include menu page --> 				 				 						 <!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint 	 <!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->","<!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint 	 <!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->","<!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint",snakeDB,Search,LD50,Taxonomy,Systematik,DBmonitor,Imprint,"<!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->"
"<!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint 	 <!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->","<!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint",snakeDB,Search,LD50,Taxonomy,Systematik,DBmonitor,Imprint,"<!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->",
"<!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint",snakeDB,Search,LD50,Taxonomy,Systematik,DBmonitor,Imprint,,,
snakeDB,Search,LD50,Taxonomy,Systematik,DBmonitor,Imprint,,,,
"<!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->",,,,,,,,,,
,No.,,"Scientific Name
Common Name",Toxicity,Length,Weight,Fangs,"Venom yield
(dry)",LD50 IV ▾,50% kill
No.,,"Scientific Name
Common Name",Toxicity,Length,Weight,Fangs,"Venom yield
(dry)",LD50 IV ▾,50% kill,LD50 SC
1.,744,"Naja nigricollis 							
Black necked spitting cobra",☠☠☠☠,280.0 cm							ref,256.7 gr							ref,5.80 														 mm							ref,200 mg								ref,0.03 mg/kg														ref,"333,333 🐭",2 mg/kg														ref
2.,260,"Crotalus scutulatus 							
Mohave rattlesnake",☠☠☠☠,130.0 cm							ref,,8.80 														 mm							ref,150 mg								ref,0.03 mg/kg														ref,"250,000 🐭",0.31 mg/kg														ref
3.,426,"Daboia russelii 							
Russell's viper",☠☠☠☠,180.0 cm							ref,675.0 gr							ref,13 														 mm							ref,240 mg								ref,0.035 mg/kg														ref,"342,857 🐭",8.25 mg/kg														ref
4.,756,"Notechis scutatus 							
Mainland tiger snake",☠☠☠☠,290.0 cm							ref,1700.0 gr							ref,5.50 														 mm							ref,636 mg								ref,0.04 mg/kg														ref,"795,000 🐭",0.099 mg/kg														ref
5.,519,"Bungarus caeruleus 							
Indian krait",☠☠☠☠,180.0 cm							ref,,3 														 mm							ref,30 mg								ref,0.04 mg/kg														ref,"37,500 🐭",0.45 mg/kg														ref
6.,520,"Bungarus candidus 							
Blue krait",☠☠☠☠,155.0 cm							ref,615.0 gr							ref,,67.7 mg								ref,0.04 mg/kg														ref,"84,625 🐭",
